rho,P,n,A_cell,A_ion,Z
1.334E+14,6.349E+32,7.890E-02,982,232,32
8.011E+13,2.745E+32,4.750E-02,1500,183,40
3.432E+13,7.426E+31,2.040E-02,1800,193,50
1.496E+13,2.096E+31,8.910E-03,1350,164,50
9.685E+12,1.107E+31,5.770E-03,1100,161,50
6.257E+12,6.193E+30,3.730E-03,950,159,50
2.665E+12,2.637E+30,1.590E-03,500,117,40
1.472E+12,1.695E+30,8.790E-04,320,116,40
1.004E+12,1.261E+30,6.000E-04,250,116,40
6.692E+11,8.740E+29,4.000E-04,200,116,40
5.409E+11,7.000E+29,3.234E-04,180,116,40
3.935E+11,6.999E+29,2.355E-04,130,130,40
3.285E+11,5.816E+29,1.966E-04,88,88,28
2.635E+11,4.473E+29,1.578E-04,86,86,28
2.044E+11,3.290E+29,1.224E-04,84,84,28
1.855E+11,2.892E+29,1.1115E-04,84,84,28
1.711E+11,2.597E+29,1.025E-04,84,84,28
1.390E+11,2.033E+29,8.331E-05,82,82,28
1.076E+11,1.495E+29,6.455E-05,80,80,28
8.335E+10,1.100E+29,5.0014E-05,78,78,28
6.617E+10,8.089E+28,3.971E-05,78,78,28
5.255E+10,5.949E+28,3.1545E-05,78,78,28
4.172E+10,4.628E+28,2.506E-05,80,80,30
3.314E+10,3.404E+28,1.990E-05,80,80,30
2.631E+10,2.503E+28,1.581E-05,80,80,30
2.1175E+10,1.938E+28,1.2725E-05,78,78,30
1.660E+10,1.425E+28,9.981E-06,72,72,28
1.273E+10,1.048E+28,7.653E-06,84,84,34
1.011E+10,7.702E+27,6.077E-06,84,84,34
8.025E+09,5.662E+27,4.827E-06,84,84,34
6.602E+09,4.362E+27,3.971E-06,84,84,34
4.074E+09,2.356E+27,2.452E-06,68,68,28
2.570E+09,1.272E+27,1.547E-06,68,68,28
1.621E+09,6.860E+26,9.761E-07,68,68,28
1.288E+09,5.036E+26,7.753E-07,68,68,28
1.045E+09,4.129E+26,6.294E-07,64,64,28
8.301E+08,3.029E+26,5.000E-07,64,64,28
5.237E+08,1.629E+26,3.155E-07,64,64,28
3.304E+08,8.738E+25,1.990E-07,64,64,28
2.624E+08,6.676E+25,1.581E-07,64,62,28
1.315E+08,2.604E+25,7.924E-08,62,62,28
6.589E+07,1.006E+25,3.972E-08,62,62,28
3.302E+07,3.833E+24,1.990E-08,62,62,28
1.655E+07,1.435E+24,9.976E-09,62,62,28
8.293E+06,5.259E+23,5.000E-09,62,62,28
6.588E+06,3.911E+23,3.972E-09,56,56,26
2.622E+06,9.755E+22,1.581E-09,56,56,26
1.044E+06,2.318E+22,6.294E-10,56,56,26
4.156E+05,5.266E+21,2.506E-10,56,56,26
1.654E+05,1.151E+21,9.976E-11,56,56,26
6.587E+04,2.431E+20,3.972E-11,56,56,26
2.622E+04,4.968E+19,1.581E-11,56,56,26
1.044E+04,9.744E+18,6.295E-12,56,56,26
1.150E+03,1.900E+17,6.930E-13,56,56,26
2.120E+02,5.820E+15,1.270E-13,56,56,26
4.510E+01,1.700E+14,2.720E-14,56,56,26
1.640E+01,1.400E+13,9.900E-15,56,56,26
1.160E+01,1.210E+12,6.990E-15,56,56,26
8.150E+00,1.010E+11,4.910E-15,56,56,26
7.900E+00,1.010E+10,4.760E-15,56,56,26
7.860E+00,1.010E+09,4.730E-15,56,56,26
7.800E+00,1.010E+08,4.700E-15,56,56,26